product_name,product_image,product_rating,no_of_review,min_price,max_price,price,currency
"Gaming Chair, JOYFLY Gaming Chair Gamer Chair for Adults Teens Racing Style Ergonomic PC Chair with Lumbar Support（Black-Grey）",https://m.media-amazon.com/images/I/61NnK2N2LQL._AC_UL320_.jpg,4.6,26.0,107.99,107.99,107.99,USD
"Dvenger Video Game Chairs, Ergonomic Office Chairs, Leather Reclining High Back Computer Office Chair Swivel with Lumbar Support Headrest Comfortable Gaming Chairs for Adults Gamer Teens, Blue",https://m.media-amazon.com/images/I/71KSo50M1sL._AC_UL320_.jpg,4.5,223.0,129.99,129.99,129.99,USD
"Soontrans Gaming Chairs Grey with Footrest,Ergonomic Computer Game Chair, Gamer Chair with Lumbar Pillow and Adjustable Headrest (Galaxy Grey)",https://m.media-amazon.com/images/I/617Q37+1nRL._AC_UL320_.jpg,4.0,1650.0,152.91,152.91,152.91,USD
"Comfty Reclining mesh Fabric Gaming Chair with Hinged Armrests, Black/Red",https://m.media-amazon.com/images/I/71M2H6R68GL._AC_UL320_.jpg,4.0,20.0,141.17,141.17,141.17,USD
"Razer Enki Gaming Chair: All-Day Gaming Comfort - Built-in Lumbar Arch - Optimized Cushion Density - Dual-Textured, Eco-Friendly Synthetic Leather - Reactive Seat Tilt & 152-Degree Recline - Black",https://m.media-amazon.com/images/I/61ZgIGTu4nL._AC_UL320_.jpg,4.6,405.0,399.99,399.99,399.99,USD
PatioMage Gaming Chair Ergonomic Office Chair Headrest Lumbar Support Comfortable High Back Adjustable Reclining Computer Chair with Footrest Desk Chair PU Leather Swivel Chair,https://m.media-amazon.com/images/I/71v725lxBtL._AC_UL320_.jpg,4.1,487.0,179.99,179.99,179.99,USD
Darkecho Gaming Chair Office Chair with Footrest Massage Vintage Leather Ergonomic Computer Chair Racing Desk Chair Reclining Adjustable High Back Gamer Chair with Headrest and Lumbar Support Ivory,https://m.media-amazon.com/images/I/61BobNHNq5L._AC_UL320_.jpg,3.7,35.0,199.99,199.99,199.99,USD
"Office Gaming Chair, PU Leather Computer Chair, Comfortable Swivel Task Home Office Desk Chair High Back with Adjustable Footrest, Black/Grey",https://m.media-amazon.com/images/I/51Pv0mTo9RL._AC_UL320_.jpg,4.1,104.0,93.99,93.99,93.99,USD
"OFM ESS Collection Racing Style Gaming Chair, High Back, Black",https://m.media-amazon.com/images/I/41sNf+G5CYL._AC_UL320_.jpg,4.5,4593.0,143.99,143.99,143.99,USD
"Czlolo Gaming Chair With Footrest and Massage, PU Leather Racing Style Ergonomic Silla Gamer PC Computer Chair, Cheap Big and Tall Reclining Office Desk Chair for Adults/Teens/Heavy People, Teal+Black",https://m.media-amazon.com/images/I/616YqDAexjL._AC_UL320_.jpg,4.0,106.0,169.15,169.15,169.15,USD
"OFM ESS Collection Racing Style Bonded Leather Gaming Chair, in Gray",https://m.media-amazon.com/images/I/71Z2V+3v6wL._AC_UL320_.jpg,4.5,18987.0,158.96,158.96,158.96,USD
X Rocker 2.1 Sound V Rocker Foldable Video Gaming Floor Chair,https://m.media-amazon.com/images/I/81fYpaDQLhL._AC_UL320_.jpg,4.2,2383.0,139.99,139.99,139.99,USD
"VON RACER Massage Gaming Chair with Footrest - Racing Desk Office Chair with Retractable Footrest and 2D Armrests, High Back Ergonomic Leather Computer Chair(Classic Black)",https://m.media-amazon.com/images/I/61pclFyT3UL._AC_UL320_.jpg,4.3,5229.0,148.99,148.99,148.99,USD
"X Rocker Falcon Pedestal PC Office Gaming Chair, 32"" x 25"" x 42"", Black/Red",https://m.media-amazon.com/images/I/71a34zpJkbL._AC_UL320_.jpg,4.4,799.0,142.21,142.21,142.21,USD
Darkecho Gaming Chair Office Chair with Footrest Massage Racing Ergonomic Chair Leather Reclining Video Game Chair Adjustable Armrest High Back Gamer Chair with Headrest and Lumbar Support Purple,https://m.media-amazon.com/images/I/61lYLkMd39L._AC_UL320_.jpg,4.1,1379.0,189.99,189.99,189.99,USD
"VON RACER Gaming Chair, Massage Gaming Chair with Footrest,Office Chair,Gaming Chair for Adults with Lumbar Support and Headrest,Adjustable High Back Ergonomic Game Chair for Office or Gaming",https://m.media-amazon.com/images/I/61mLLizMasL._AC_UL320_.jpg,4.5,71.0,179.99,179.99,179.99,USD
"RESPAWN RSP-900 Racing Style, Reclining Gaming Chair, 35.04"" - 51.18"" D x 30.71"" W x 37.01"" - 44.88"" H, Red",https://m.media-amazon.com/images/I/71EnrgAfccL._AC_UL320_.jpg,4.4,3910.0,226.05,226.05,226.05,USD
"Gaming Chair, Racing Style Bonded Leather Gamer Chair, Ergonomic Office Chair Computer Desk Executive Chair, with Adjustable Height and Flip-Up Arms, Gaming Chair for Adults Teens Kids Men Women",https://m.media-amazon.com/images/I/61Mo6ITRplS._AC_UL320_.jpg,4.3,266.0,95.99,95.99,95.99,USD
MUZII Gaming Computer Chair Video Game Chair PU Leather Ergonomic Adjustable Racing Office Desk Chair with Wheels for Teens and Kids Black,https://m.media-amazon.com/images/I/71X92N-ujEL._AC_UL320_.jpg,4.2,732.0,99.99,99.99,99.99,USD
"KBEST Massage Gaming Chair - High Back Racing PC Computer Desk Office Chair Swivel Ergonomic Executive Leather Chair with Adjustable Back Angle, Armrests and Footrest (White)",https://m.media-amazon.com/images/I/619-P3G6j1L._AC_UL320_.jpg,4.3,715.0,139.99,139.99,139.99,USD
"AA Products Gaming Chair High Back Ergonomic Computer Racing Chair Adjustable Gamer Chair with Footrest, Lumbar Support Swivel Chair – BlackPurple",https://m.media-amazon.com/images/I/71ItJZhhkvL._AC_UL320_.jpg,4.3,508.0,149.9,149.9,149.9,USD
"Soontrans Pink Gaming Chair with Footrest,Lovely Computer Game Chair,Desk Chair for Granddaughter,Sister,Girlfriend,Wife and Love with Headrest,Lumbar Support Gamer Chair (Pink)",https://m.media-amazon.com/images/I/61g6eUrYbwL._AC_UL320_.jpg,4.0,745.0,159.98,159.98,159.98,USD
"Gaming Chairs, JOYFLY Purple Gaming Chair for Adults, Racing Style Ergonomic PC Chair with Lumbar Support(Purple Golden)",https://m.media-amazon.com/images/I/61FZNljhGwL._AC_UL320_.jpg,4.3,77.0,109.99,109.99,109.99,USD
"Saydsi Gaming Chair Computer Chair Leather High Back Chair Racing Executive Ergonomic Office Chair with Height Adjustment, Footrest，Headrest and Lumbar Support Sports Swivel Chair(Red)",https://m.media-amazon.com/images/I/6105USTQZmL._AC_UL320_.jpg,2.9,12.0,119.55,119.55,119.55,USD
"Blue Whale Massage Gaming Chair with Footrest, High Back Racing PC Computer Desk Office Chair Swivel Ergonomic Game Office Chair and Adjustable Armrests 8332",https://m.media-amazon.com/images/I/61AX6jnMcPL._AC_UL320_.jpg,4.3,981.0,165.99,165.99,165.99,USD
"DualThunder DT720 Gaming Chairs, Gaming Chairs for Adults Teens Gamer, Ergonomic Video Game Chairs High Back Computer Chairs, Reclining Office Chairs Adjustable Headrest and Lumbar Support, Brown",https://m.media-amazon.com/images/I/61sItKjWc0L._AC_UL320_.jpg,4.5,348.0,131.99,131.99,131.99,USD
"Soontrans Gaming Chairs White with Massage,Ergonomic Gamer Chair,Racing Game Chair,PC Computer Chair with High-Back,Adjustable Headrest and Lumbar Support (Polar White)",https://m.media-amazon.com/images/I/61QHaE-yndL._AC_UL320_.jpg,3.9,1994.0,149.9,149.9,149.9,USD
Ergoseat Gaming Chair PU Leather Executive Ergonomic Office Chair Rolling Racing PC Desk Chair Backrest and Seat Height Adjustment Recliner Swivel Rocker with Headrest and Lumbar Pillow (Black/Blue1),https://m.media-amazon.com/images/I/61pob89-PtL._AC_UL320_.jpg,4.4,286.0,123.99,123.99,123.99,USD
shuanghu Gaming Chair Office Chair Ergonomic PC Computer Chair with Reclining Racing Chair with Headrest and Lumbar Support Gaming Chair for Adults Teens Desk Chair (Black),https://m.media-amazon.com/images/I/512BH81sNwS._AC_UL320_.jpg,4.2,10241.0,149.99,149.99,149.99,USD
Razer Iskur Gaming Chair: Ergonomic Lumbar Support System - Multi-Layered Synthetic Leather - High Density Foam Cushions - Engineered to Carry - Memory Foam Head Cushion - Black/Green,https://m.media-amazon.com/images/I/619-kxYmG1L._AC_UL320_.jpg,4.5,1755.0,,,,USD
"Ergonomic Office Chair, KERDOM Home Desk Chair, Comfy Breathable Mesh Task Chair, High Back Thick Cushion Computer Chair with Headrest and 3D Armrests, Adjustable Height Home Gaming Chair S-White",https://m.media-amazon.com/images/I/71SJzYqntVL._AC_UL320_.jpg,4.1,587.0,203.99,203.99,203.99,USD
"Flash Furniture X10 Gaming Chair Racing Office Ergonomic Computer PC Adjustable Swivel Chair with Flip-up Arms, Purple/Black LeatherSoft",https://m.media-amazon.com/images/I/61w3ODv7J5L._AC_UL320_.jpg,4.4,4437.0,176.79,176.79,176.79,USD
"Dvenger Office Desk Chairs, Office Chairs Clearance, Video Game Chairs, Gaming Chairs, Computer Gaming Chair, Gaming Chairs for Teens, Adults and Gamer, Blue",https://m.media-amazon.com/images/I/71aTRco8b9L._AC_UL320_.jpg,4.3,493.0,99.99,99.99,99.99,USD
"Office Chair Gaming Chair Desk Chair Ergonomic Racing Style Executive Chair with Lumbar Support Adjustable Stool Swivel Rolling Computer Chair for Women,Man",https://m.media-amazon.com/images/I/61zJ9iduIfL._AC_UL320_.jpg,4.5,14009.0,104.99,104.99,104.99,USD
VON RACER Gaming Chair Massage with Footrest Gamer Chair Ergonomic Gaming Chair for Adults Video Game Chair with Headrest and Massage Lumbar Support Gaming Chair Adjustable Swivel (Grey),https://m.media-amazon.com/images/I/61QO-KpOuhL._AC_UL320_.jpg,4.3,1619.0,149.99,149.99,149.99,USD
"Ergonomic Office Desk Chair,MOLENTS Adjustable Computer Chair with Seat Slider, Adjustable Lumbar Support,Headrest,3D Armrest, 3 Position Tilt-Lock,Comfortable Mesh Back for Gaming, Home, or Office",https://m.media-amazon.com/images/I/71oLjnDCMzL._AC_UL320_.jpg,4.5,130.0,259.99,259.99,259.99,USD
"Hbada Ergonomic Office Chair High Back Desk Chair Recliner Chair with Lumbar Support Height Adjustable Seat, Headrest- Breathable Mesh Back Soft Foam Seat Cushion, White",https://m.media-amazon.com/images/I/51cGhkT+tXL._AC_UL320_.jpg,3.8,5180.0,189.99,189.99,189.99,USD
"X-VOLSPORT Massage Gaming Chair with Footrest Reclining High Back Computer Game Chair with Lumbar Support and Headrest, Racing Style Video Gamer Chair Red",https://m.media-amazon.com/images/I/61PHxpfpOOL._AC_UL320_.jpg,4.2,2443.0,189.99,189.99,189.99,USD
"Hbada Gaming Chair Ergonomic Racing Chair High Back Computer Chair with Height Adjustment Headrest and Lumbar Support E-Sports Swivel Chair with Adjustment Footrest,Grey and Black",https://m.media-amazon.com/images/I/61ZMwTBfr2L._AC_UL320_.jpg,4.3,7389.0,178.49,178.49,178.49,USD
"Amazon Basics Kids/Youth Gaming Recliner with Headrest and Back Pillow, 3+ Age Group, Black and White",https://m.media-amazon.com/images/I/71DZmm+iGXL._AC_UL320_.jpg,4.6,1914.0,179.52,179.52,179.52,USD
"iooHug Gaming Chair with Footrest, Video Game Chairs with Adjustable Headrest and Lumbar Support, 400-lb. Ergonomic High Back Computer Chair Office PC Chair for Adults, Gamer chair for Teens Dark Gray",https://m.media-amazon.com/images/I/61LZWgoANLL._AC_UL320_.jpg,4.4,722.0,149.99,149.99,149.99,USD
"AutoFull Gaming Chair Office Chair Desk Chair with Ergonomic Lumbar Support, Racing Style PU Leather PC High Back Adjustable Swivel Task Chair with Footrest，Brown.",https://m.media-amazon.com/images/I/61qoEJFMHBL._AC_UL320_.jpg,4.6,2079.0,249.99,249.99,249.99,USD
GTRACING Gaming Chair with Footrest Speakers Video Game Chair Bluetooth Music Heavy Duty Ergonomic Computer Office Desk Chair Red,https://m.media-amazon.com/images/I/71Adb5KJzOL._AC_UL640_QL65_.jpg,4.6,9141.0,,,,USD
"Hbada Gaming Chair Ergonomic Racing Chair High Back Computer Chair with Height Adjustment Headrest and Lumbar Support E-Sports Swivel Chair with Adjustment Footrest,Red and Black",https://m.media-amazon.com/images/I/71kXei8BpyL._AC_UL640_QL65_.jpg,4.3,7389.0,178.49,178.49,178.49,USD
TUOFU Ergonomic Leather Gaming Chair for Adults Adjustable Reclining Office Chair with Lumbar Support Padded Headrest Armrest High Back Executive Chair Video Game Racing Chair,https://m.media-amazon.com/images/I/71e-6Pl2jlL._AC_UL320_.jpg,4.0,39.0,229.95,229.95,229.95,USD
"X Rocker Mammoth Pedestal 2.1 BT PC Office Gaming Chair, 32"" x 26"" x 40.9"", Black",https://m.media-amazon.com/images/I/71Ti3uvlg3L._AC_UL320_.jpg,4.4,363.0,229.99,229.99,229.99,USD
"Cedric Office Chair,Breathable Mesh Computer Chair with Ergonomic Adjustable Lumbar Support, White Swivel Desk Chair with Adjustable Armrest and Headrest, Soft Cushion Seat",https://m.media-amazon.com/images/I/61Ta2NAcM5L._AC_UL320_.jpg,4.0,50.0,239.99,239.99,239.99,USD
"AOTU Ergonomic Gaming Chair Office Chair PC Chair with Footrest, High-Back Racing Computer Desk Chair, Height Adjustable Swivel Recliner, Soft Head Pillow & Large Lumbar Support （Black & Red）",https://m.media-amazon.com/images/I/61C-+RdETkL._AC_UL320_.jpg,5.0,2.0,279.99,279.99,279.99,USD
